KO,F101_0.22_B,F101_0.22_S,F103_0.22_B,F103_0.22_S,F107_0.22_B,F107_0.22_S
K07232,1,1,1,1,1,1
K07233,1,1,1,1,1,1
K07234,1,1,1,1,1,1
K07235,1,1,1,1,1,1
K07236,1,1,1,1,1,1
K07237,1,1,1,1,1,1
K07238,1,1,1,1,1,1
K07239,1,1,1,1,1,1
K07240,1,1,1,1,1,1
K07241,0,1,1,0,1,1
K07242,1,1,1,1,1,1
K07243,1,1,1,1,1,1
K07244,0,0,0,0,1,0
K07245,1,1,1,1,1,1
K07246,1,1,1,1,1,1
K07248,1,0,1,0,1,1
K07249,0,0,1,0,0,0
K07250,1,1,1,1,1,1
K07251,1,1,1,1,1,1
K07252,0,0,1,1,1,0
K07253,1,1,1,1,1,1
K07254,1,1,1,1,1,1
K07255,1,0,1,1,1,1
K07256,0,0,0,0,0,0
K07257,1,1,1,1,1,1
K07258,1,1,1,1,1,1
K07259,1,1,1,1,1,1
K07260,0,0,0,0,0,0
K07261,1,1,1,1,1,1
K07262,1,1,1,1,1,1
K07263,1,1,1,1,1,1
K07264,0,0,1,0,1,0
K07265,1,1,1,1,1,1
K07266,1,1,1,1,1,1
K07267,1,1,1,1,1,1
K07269,0,0,1,0,0,0
K07270,1,1,1,1,1,1
K07271,1,0,1,1,1,1
K07272,1,1,1,1,1,1
K07273,1,1,1,1,1,1
K07274,1,1,1,1,1,1
K07275,1,1,1,1,1,1
K07276,1,1,1,1,1,1
K07277,1,1,1,1,1,1
K07278,1,1,1,1,1,1
K07279,1,1,1,1,1,1
K07280,0,0,0,0,0,0
K07281,1,1,1,1,1,1
K07282,1,1,1,1,1,1
K07283,1,1,1,1,1,1
K07284,1,1,1,1,1,1
K07285,1,1,1,1,0,1
K07286,1,1,1,0,1,1
K07287,1,1,1,1,1,1
K07288,0,0,0,0,0,0
K07289,1,1,1,1,1,1
K07290,1,1,1,1,1,1
K07291,1,1,1,1,0,1
K07293,0,0,0,0,0,0
K07295,0,0,0,0,0,0
K07296,0,0,0,0,0,0
K07297,0,0,1,0,1,1
K07298,0,0,0,0,0,0
K07299,0,0,0,0,1,0
K07300,1,1,1,1,1,1
K07301,1,1,1,1,1,1
K07302,1,1,1,1,1,1
K07303,1,1,1,1,1,1
K07304,1,1,1,1,1,1
K07305,1,1,1,1,1,1
K07306,1,0,1,0,1,1
K07307,1,1,1,1,1,1
K07308,1,1,1,1,1,1
K07309,0,0,0,0,0,0
K07310,0,0,0,0,0,0
K07311,0,0,0,0,0,0
K07312,0,0,0,0,0,0
K07313,1,1,1,1,1,1
K07315,1,1,1,1,1,1
K07316,1,1,1,1,1,1
K07317,1,1,1,1,1,1
K07318,1,1,1,1,1,1
K07319,1,1,1,1,1,1
K07320,1,1,1,1,1,1
K07321,1,1,1,1,1,1
K07322,1,0,1,1,1,1
K07323,1,1,1,1,1,1
K07324,0,0,0,0,0,0
K07325,0,0,0,0,0,0
K07326,0,0,1,0,0,0
K07327,0,0,0,0,0,0
K07328,0,0,0,0,0,0
K07329,0,0,0,0,0,0
K07330,0,0,1,0,1,1
K07331,1,1,1,1,1,1
K07332,1,1,1,1,1,1
K07333,1,1,1,1,1,1
K07334,1,1,1,1,1,1
K07335,1,1,1,1,1,1
K07336,1,1,1,1,1,1
K07337,1,1,1,1,1,1
K07338,1,0,1,1,1,1
K07339,1,1,1,1,1,1
K07340,1,1,1,1,1,1
K07341,1,1,1,1,1,1
K07342,1,1,1,1,1,1
K07343,1,1,1,1,1,1
K07344,1,0,1,1,0,1
K07345,1,0,1,0,1,1
K07346,1,0,1,0,1,1
K07347,1,1,1,1,1,1
K07348,0,0,0,0,0,0
K07349,0,0,0,0,0,0
K07350,0,0,0,0,0,0
K07351,0,0,0,0,0,0
K07357,0,0,0,0,0,0
K07358,0,0,0,0,0,0
K07359,0,1,1,1,1,1
K07360,0,0,0,0,0,0
K07363,0,0,0,0,0,0
K07364,0,0,0,0,0,0
K07365,0,0,0,0,0,0
K07366,0,0,0,0,0,0
K07369,0,0,0,0,0,0
K07370,0,0,0,0,0,0
K07374,1,1,1,1,1,1
K07375,1,1,1,1,1,1
K07376,1,1,1,1,1,1
K07377,0,0,0,0,0,0
K07378,0,0,0,0,0,0
K07386,1,1,1,1,1,1
K07387,1,1,1,1,1,1
K07388,0,0,0,0,0,0
K07389,1,1,1,1,1,1
K07390,1,1,1,1,1,1
K07391,1,1,1,1,1,1
K07392,0,0,0,0,0,0
K07393,1,1,1,1,1,1
K07394,1,1,1,1,1,1
K07395,1,1,1,1,1,1
K07396,1,1,1,1,1,1
K07397,1,1,1,1,1,1
K07398,1,0,1,0,1,0
K07399,1,1,1,1,1,1
K07400,1,1,1,1,1,1
K07401,1,1,1,1,1,1
K07402,1,1,1,1,1,1
K07403,1,1,1,1,1,1
K07404,1,1,1,1,1,1
K07405,1,1,1,1,1,1
K07406,1,1,1,1,1,1
K07407,1,1,1,1,1,1
K07410,0,0,0,0,0,0
K07419,0,0,0,0,0,0
K07422,0,0,0,0,0,0
K07424,1,1,1,1,1,1
K07425,0,0,0,0,0,0
K07426,0,0,0,0,0,0
K07427,0,0,0,1,1,1
K07428,0,0,0,0,1,1
K07430,0,0,0,0,0,0
K07431,0,0,0,0,0,0
K07432,0,0,1,0,1,0
K07438,0,0,0,0,0,0
K07439,0,0,0,0,0,0
K07440,0,0,0,0,0,1
K07441,0,0,0,0,1,0
K07442,1,1,1,1,1,1
K07443,1,1,1,1,1,1
K07444,1,1,1,1,1,1
K07445,1,1,1,1,1,1
K07446,1,1,1,1,1,1
K07447,1,1,1,1,1,1
K07448,1,1,1,1,1,1
K07449,0,0,0,0,0,0
K07450,0,0,0,0,0,0
K07451,1,1,1,1,1,1
K07452,1,1,1,1,1,1
K07453,1,1,1,1,1,1
K07454,1,1,1,1,1,1
K07455,1,1,1,1,1,1
K07456,1,1,1,1,1,1
K07457,1,1,1,1,1,1
K07458,1,1,1,1,1,1
K07459,1,1,1,1,0,1
K07460,1,1,1,1,1,1
K07461,1,1,1,1,1,1
K07462,1,1,1,1,1,1
K07463,1,1,1,1,1,1
K07464,1,0,1,1,1,1
K07465,1,1,1,1,1,1
K07466,1,1,1,1,1,1
K07467,0,0,1,0,0,0
K07468,0,0,0,0,0,0
K07469,0,0,0,0,0,0
K07470,0,0,0,0,0,0
K07471,0,0,0,0,0,0
K07472,0,0,0,0,0,0
K07473,1,1,1,1,1,1
K07474,1,1,1,1,1,1
K07476,0,0,0,0,0,0
K07477,1,1,1,1,1,1
K07478,1,1,1,1,1,1
K07479,1,1,1,1,0,1
K07480,1,1,1,1,1,1
K07481,1,1,1,1,1,1
K07482,1,1,1,1,1,1
K07483,1,1,1,1,1,1
K07484,1,1,1,1,1,1
K07485,1,1,1,1,1,0
K07486,1,1,1,1,1,1
K07487,1,1,1,0,0,1
K07488,0,0,0,0,0,0
K07489,1,1,1,1,1,1
K07490,0,0,0,0,0,0
K07491,1,1,1,1,1,1
K07492,1,1,1,1,1,1
K07493,1,1,1,1,1,1
K07494,1,1,1,1,1,1
K07495,1,1,1,1,1,1
K07496,1,1,1,1,1,1
K07497,1,1,1,1,1,1
K07498,1,1,1,1,1,1
K07499,0,0,0,0,0,0
K07500,0,0,0,0,0,0
K07501,1,1,1,1,1,1
K07502,1,1,1,1,1,1
K07503,1,1,1,1,1,1
K07504,1,1,1,1,1,1
K07505,1,1,1,1,1,1
K07506,1,1,1,1,1,1
K07507,1,1,1,1,1,1
K07508,1,1,1,1,1,1
K07509,1,1,1,1,1,1
K07511,1,1,1,1,1,1
K07512,0,0,1,1,1,1
K07513,0,0,1,0,1,1
K07514,0,0,0,0,0,1
K07515,1,1,1,1,1,1
K07516,1,1,1,1,1,1
K07518,0,0,0,0,0,0
K07526,0,0,0,0,0,1
K07527,0,0,0,0,0,0
K07533,1,1,1,1,1,1
K07535,1,1,1,1,1,1
K07536,1,1,1,1,1,1
K07537,0,0,1,0,0,0
K07538,0,0,1,0,1,1
K07539,0,0,1,0,1,0
K07540,0,0,0,0,0,0
K07541,0,0,0,0,0,0
K07542,1,0,1,1,1,1
K07543,1,0,1,0,1,1
K07544,1,0,1,0,1,1
K07545,0,0,0,0,0,0
K07546,0,0,1,0,1,1
K07548,0,0,0,0,1,0
K07549,1,0,1,0,1,1
K07550,0,0,0,0,0,0
K07552,1,1,1,1,1,1
K07553,1,0,1,0,1,1
K07555,0,0,1,0,1,0
K07556,1,1,1,1,1,1
K07557,1,1,1,1,1,1
K07558,1,1,1,1,1,1
K07559,1,1,1,1,1,1
K07560,1,1,1,1,1,1
K07561,1,1,1,1,1,1
K07562,1,1,1,1,1,1
K07565,0,1,1,1,1,1
K07566,1,1,1,1,1,1
K07568,1,1,1,1,1,1
K07569,1,1,1,1,1,0
K07570,0,0,0,0,0,0
K07571,0,0,1,0,1,0
K07572,1,1,1,1,1,1
K07573,1,1,1,1,1,1
K07574,1,1,1,1,1,1
K07575,1,1,1,1,1,1
K07576,1,1,1,1,1,1
K07577,1,1,1,1,1,1
K07578,0,0,0,0,0,0
K07579,1,1,1,1,1,1
K07580,1,0,1,0,1,0
K07581,1,0,1,0,1,0
K07583,1,1,1,1,1,1
K07584,0,0,0,0,0,0
K07585,0,0,0,0,0,0
K07586,0,0,0,0,0,0
K07587,0,0,0,0,0,0
K07588,1,1,1,1,1,1
K07589,1,1,1,1,1,1
K07590,0,0,0,0,0,0
K07592,1,0,1,0,1,1
K07593,0,0,0,0,1,0
K07601,0,0,0,0,0,0
K07603,0,0,0,0,0,0
K07604,0,0,0,0,0,0
K07605,0,0,0,0,0,0
K07609,0,0,0,0,0,1
K07611,0,0,0,0,0,0
K07636,1,1,1,1,1,1
K07637,1,1,1,1,1,1
K07638,1,1,1,1,1,1
K07639,1,1,1,1,1,1
K07640,1,1,1,1,1,1
K07641,1,1,1,1,1,1
K07642,1,1,1,1,1,1
K07643,0,0,0,0,0,0
K07644,1,1,1,1,1,1
K07645,1,1,1,1,1,1
K07646,1,1,1,1,1,1
K07647,1,1,1,1,1,1
K07648,1,1,1,1,1,1
K07649,1,1,1,1,1,1
K07650,1,0,1,0,0,1
K07651,1,1,1,1,1,1
K07652,0,0,1,0,1,0
K07653,1,1,1,1,1,1
K07654,1,1,1,1,1,1
K07655,0,0,1,0,0,0
K07656,0,0,0,0,0,0
K07657,1,1,1,1,1,1
K07658,1,1,1,1,1,1
K07659,1,1,1,1,1,1
K07660,1,1,1,1,1,1
K07661,1,1,1,1,1,1
K07662,1,1,1,1,1,1
K07663,1,1,1,1,1,1
K07664,1,1,1,1,1,1
K07665,1,1,1,1,1,1
K07666,1,1,1,1,1,1
K07667,1,1,1,1,1,1
K07668,1,1,1,1,1,1
K07669,1,1,1,1,1,1
K07670,1,1,1,1,1,1
K07671,0,0,0,0,0,0
K07672,0,0,0,0,0,0
K07673,1,1,1,1,1,1
K07674,0,0,1,0,0,1
K07675,1,1,1,1,1,1
K07676,0,0,0,0,0,0
K07677,1,1,1,1,1,1
K07678,1,1,1,1,1,1
K07679,1,1,1,1,1,1
K07680,0,0,0,0,0,0
K07681,1,0,1,1,1,1
K07682,0,0,0,0,0,0
K07683,1,1,1,1,1,1
K07684,1,1,1,1,1,1
K07685,1,1,1,1,1,1
K07686,1,1,1,1,0,1
K07687,0,0,0,0,0,0
K07688,0,0,1,0,0,0
K07690,1,0,1,1,1,1
K07691,0,0,0,0,0,0
K07692,1,1,1,1,1,1
K07693,1,1,1,1,0,1
K07694,0,0,0,0,0,0
K07695,0,0,1,0,1,1
K07696,0,0,1,0,1,0
K07697,0,0,0,0,0,0
K07698,0,0,0,0,0,0
K07699,0,0,0,0,0,0
K07700,0,0,0,0,0,0
K07701,0,0,0,0,0,0
K07702,0,0,0,0,0,0
K07703,0,0,0,0,0,0
K07704,0,0,0,0,0,1
K07705,0,0,0,0,0,0
K07706,0,0,0,0,0,0
K07707,0,0,0,0,0,0
K07708,1,1,1,1,1,1
K07709,1,1,1,1,1,1
K07710,1,0,1,1,1,1
K07711,1,1,1,1,0,1
K07712,1,1,1,1,1,1
K07713,1,1,1,1,1,1
K07714,1,1,1,1,1,1
K07715,1,1,1,1,1,1
K07716,1,1,1,1,1,1
K07717,0,0,0,0,0,0
K07718,0,0,0,0,0,0
K07719,0,0,0,0,0,0
K07720,1,0,1,1,1,1
K07721,1,1,1,1,1,1
K07722,1,1,1,1,1,1
K07723,0,0,0,0,0,0
K07724,0,0,1,0,0,0
K07725,0,0,0,0,0,0
K07726,1,1,1,1,1,1
K07727,1,1,1,1,1,1
K07728,0,0,0,0,0,0
K07729,1,1,1,1,1,1
K07730,0,0,0,0,0,0
K07731,0,0,1,0,1,1
K07732,1,1,1,1,1,1
K07733,1,1,1,1,1,1
K07734,1,1,1,1,1,1
K07735,1,1,1,1,1,1
K07736,1,1,1,1,1,1
K07738,1,1,1,1,1,1
K07739,1,1,1,1,1,1
K07740,1,1,1,1,1,1
K07741,0,0,0,0,0,0
K07742,1,1,1,1,1,1
K07743,0,0,1,0,1,1
K07744,0,0,0,0,0,0
K07745,0,0,0,0,0,0
K07746,1,1,1,1,1,1
K07747,0,0,0,0,0,0
K07748,0,0,0,0,1,1
K07749,1,1,1,1,1,1
K07750,0,1,1,1,1,1
K07751,1,1,1,1,0,1
K07752,0,0,1,1,1,1
K07753,0,0,1,0,1,1
K07755,0,0,1,0,1,1
K07757,0,0,0,0,0,0
K07758,0,0,0,0,0,0
K07759,0,0,0,0,1,0
K07760,0,0,0,0,0,0
K07761,0,0,0,0,0,0
K07762,1,0,1,1,1,1
K07763,0,0,1,0,1,1
K07765,0,0,0,0,0,0
K07766,0,0,0,0,1,0
K07767,0,0,1,1,1,1
K07768,1,1,1,1,1,1
K07769,1,1,1,1,1,1
K07770,1,0,1,0,0,1
K07771,0,0,0,0,0,0
K07772,0,0,1,0,0,1
K07773,1,1,1,1,0,1
K07774,1,1,1,1,1,1
K07775,1,0,1,0,1,1
K07776,1,1,1,1,1,1
K07777,1,1,1,0,1,1
K07778,1,1,1,1,1,1
K07779,0,0,0,0,1,0
K07781,0,0,0,0,0,0
K07782,1,1,1,1,0,1
K07783,1,0,1,0,1,1
K07784,0,0,0,0,0,1
K07785,1,1,1,1,1,1
K07787,1,1,1,1,1,1
K07788,1,1,1,1,1,1
K07789,1,1,1,1,1,1
K07790,0,0,0,0,0,0
K07791,0,0,1,0,0,1
K07792,0,0,1,0,0,1
K07793,1,1,1,1,1,1
K07794,1,1,1,1,1,1
K07795,1,1,1,1,1,1
K07796,1,1,1,1,0,1
K07798,1,1,1,1,1,1
K07799,1,1,1,1,1,1
K07803,0,0,0,0,0,0
K07804,0,0,0,0,0,0
K07806,1,1,1,1,1,1
K07807,0,0,1,1,0,0
K07808,0,0,1,0,0,0
K07809,0,0,0,0,1,0
K07810,0,0,1,0,1,0
K07811,1,1,1,1,0,1
K07812,1,1,1,1,1,1
K07813,0,0,0,0,0,0
K07814,1,1,1,1,1,1
K07816,0,0,0,0,1,0
K07817,0,0,0,0,1,0
K07819,0,0,0,0,0,0
K07820,0,0,0,0,0,0
K07821,0,0,1,0,0,0
K07822,0,0,0,0,0,0
K07823,1,1,1,1,1,1
K07824,0,0,0,0,1,1
K07827,0,0,0,0,0,0
K07834,0,0,0,0,0,0
K07847,0,0,0,0,0,0
K07852,0,0,0,0,0,0
K07856,0,0,0,0,0,0
K07858,0,0,0,0,0,0
K07861,0,0,0,0,0,0
K07862,1,1,1,1,1,1
K07865,0,0,0,0,0,0
K07870,0,0,0,0,1,0
K07871,0,0,0,0,0,1
K07872,0,0,0,0,0,0
K07874,1,1,1,1,1,1
K07875,0,0,0,0,0,0
K07876,0,0,0,0,0,0
K07877,0,0,1,1,1,0
K07878,0,0,0,0,0,0
K07879,0,0,1,0,1,1
K07880,0,0,0,0,0,0
K07881,0,0,0,0,1,0
K07883,0,0,0,0,0,0
K07884,0,0,0,0,0,0
K07885,0,0,0,0,0,0
K07886,0,0,0,0,0,0
K07887,0,0,1,0,1,1
K07888,0,0,0,0,1,0
K07889,1,0,1,1,1,1
K07890,0,1,1,1,1,0
K07891,0,0,1,0,1,0
K07893,0,0,1,1,1,0
K07894,0,0,0,0,0,0
K07896,0,0,0,0,0,0
K07897,1,1,1,1,1,1
K07898,0,0,0,0,0,0
K07900,0,0,0,0,0,0
K07901,1,0,1,1,1,1
K07902,0,0,0,0,1,0
K07903,0,0,0,0,1,0
K07904,0,0,0,0,1,1
K07905,0,0,0,0,1,0
K07906,0,0,0,0,0,0
K07907,0,0,0,0,0,0
K07908,0,0,0,0,0,0
K07909,0,0,0,0,0,0
K07910,0,1,1,1,1,1
K07911,0,0,0,0,0,0
K07912,0,0,0,0,0,0
K07914,0,0,0,0,0,0
K07915,0,0,1,0,1,0
K07916,0,0,0,0,0,0
K07917,0,0,0,0,0,0
K07918,0,0,0,0,1,1
K07920,0,0,0,0,1,0
K07922,0,0,0,0,0,0
K07923,0,0,0,0,0,0
K07924,0,0,0,0,0,0
K07925,0,0,0,0,0,0
K07928,0,0,0,0,0,0
K07929,0,0,0,0,0,0
K07930,0,0,0,0,0,0
K07931,0,0,0,0,0,0
K07933,0,0,0,0,0,0
K07934,0,0,0,1,1,1
K07935,0,0,1,0,1,0
K07936,1,1,1,1,1,1
K07937,0,0,0,0,0,0
K07938,0,0,0,0,1,0
K07939,0,0,0,0,1,0
K07941,0,0,0,0,0,0
K07942,0,1,1,1,1,1
K07943,0,0,1,1,1,1
K07944,0,0,1,1,1,0
K07945,0,0,0,0,0,0
K07949,0,0,0,0,0,0
K07951,0,0,1,1,1,1
K07952,0,0,1,0,1,1
K07953,0,1,1,1,1,1
K07955,0,0,0,0,0,0
K07959,0,0,0,0,0,0
K07960,0,0,0,0,0,0
K07962,0,0,0,0,1,0
K07963,0,0,0,0,0,0
K07964,0,0,1,0,1,1
K07966,1,1,1,1,1,1
K07967,0,0,0,0,0,1
K07968,1,1,1,1,1,1
K07969,1,1,1,1,1,1
K07972,0,0,0,0,0,0
K07975,0,0,1,0,1,1
K07976,1,1,1,1,1,1
K07977,1,1,1,1,1,1
K07978,1,1,1,1,1,1
K07979,1,0,1,1,1,1
K07991,1,0,1,1,1,1
K07993,0,0,0,0,0,0
K07994,0,0,1,0,1,0
K07995,0,0,0,0,0,0
K07996,0,0,0,0,0,0
K07997,0,0,0,0,0,0
K07998,0,0,0,0,0,1
K07999,0,0,0,0,0,0
K08000,0,0,0,0,1,0
K08002,0,0,0,0,0,0
K08003,0,0,1,0,0,0
K08004,0,0,0,0,0,0
K08005,0,0,1,0,1,0
K08006,0,0,0,0,0,0
K08008,1,0,1,0,1,1
K08013,0,0,0,0,0,0
K08014,0,0,0,0,0,0
K08016,0,0,0,0,0,0
K08017,0,0,0,0,1,1
K08018,0,0,0,0,0,0
K08020,0,0,0,0,0,0
K08021,0,0,0,0,0,0
K08022,0,0,0,0,1,0
K08023,0,0,0,0,0,0
K08029,0,0,0,0,0,1
K08041,0,0,0,0,0,0
K08042,0,0,0,0,0,0
K08048,0,0,0,0,0,0
K08049,0,0,1,0,0,0
K08051,0,0,0,0,1,1
K08052,0,0,0,1,1,0
K08054,1,0,1,1,1,1
K08056,1,0,1,1,1,1
K08057,1,0,1,0,1,1
K08059,0,0,0,0,1,1
K08060,0,0,0,0,1,0
K08062,0,0,0,0,0,0
K08064,0,0,1,0,1,0
K08065,0,0,1,0,1,0
K08066,0,0,0,0,1,1
K08068,1,1,1,1,1,1
K08069,0,0,0,0,0,0
K08070,1,1,1,1,1,1
K08071,0,0,0,0,0,0
K08073,1,0,1,1,1,1
K08074,0,0,0,0,0,1
K08075,0,0,1,0,1,0
K08076,0,0,0,0,0,0
K08077,0,0,0,0,0,0
K08080,1,0,1,0,1,1
K08081,1,1,1,1,1,1
K08082,1,1,1,1,1,1
K08083,1,1,1,1,1,1
K08084,1,1,1,1,1,1
K08085,0,0,0,0,0,0
K08086,1,1,1,1,1,1
K08092,1,1,1,1,0,1
K08093,1,1,1,1,1,1
K08094,1,1,1,1,1,1
K08095,0,0,0,0,0,0
K08096,1,1,1,0,1,0
K08097,1,1,1,1,1,1
K08098,0,0,1,0,1,0
K08099,0,0,0,0,0,0
K08100,0,0,1,1,0,0
K08104,0,0,1,0,1,0
K08105,0,0,0,0,0,0
K08106,0,0,1,1,1,0
K08111,0,0,0,0,0,0
K08114,0,0,0,0,0,0
K08115,1,1,0,1,0,0
K08122,0,0,0,0,0,0
K08131,1,1,0,1,0,1
K08132,0,0,0,0,0,0
K08133,0,0,0,0,0,0
K08134,1,0,1,0,1,1
K08136,0,0,0,0,0,0
K08137,0,0,0,0,1,0
K08138,1,1,1,1,0,1
K08139,1,1,1,1,1,1
K08141,0,0,0,0,0,0
K08142,0,0,0,0,1,0
K08143,0,0,0,0,0,0
K08145,0,0,1,0,1,0
K08146,0,0,0,0,0,0
K08149,0,0,0,0,1,0
K08150,0,0,1,0,1,1
K08151,1,1,1,1,1,1
K08152,0,0,0,0,0,0
K08153,1,1,1,1,1,1
K08154,1,0,1,1,0,1
K08155,0,0,0,0,0,0
K08156,1,1,1,1,1,1
K08159,0,0,0,0,0,0
K08160,0,0,1,0,1,1
K08161,0,0,1,0,1,1
K08162,0,0,0,0,0,0
K08163,0,0,1,0,0,1
K08164,0,0,0,0,0,0
K08166,0,0,0,0,1,0
K08167,1,1,1,1,1,1
K08168,1,1,1,1,0,1
K08169,1,1,1,1,1,1
K08170,0,0,0,0,0,0
K08171,0,0,0,0,0,0
K08172,1,1,1,1,1,1
K08173,1,0,1,1,1,1
K08174,0,0,0,0,0,0
K08175,0,0,1,0,1,0
K08176,0,0,0,0,1,0
K08177,1,1,1,1,1,1
K08178,1,1,1,1,1,1
K08183,0,0,0,0,0,0
K08186,0,0,0,0,0,1
K08187,0,0,0,0,0,0
K08189,0,0,0,0,0,0
K08190,0,0,0,0,0,0
K08191,1,1,1,1,1,1
K08193,1,1,1,1,1,1
K08194,1,1,1,1,1,1
K08195,1,1,1,1,1,1
K08196,1,1,1,1,1,1
K08198,0,0,0,0,0,0
K08202,0,0,0,0,1,0
K08211,0,0,0,0,0,0
K08214,0,0,0,0,0,0
K08215,0,0,0,0,0,0
K08217,1,1,1,1,1,1
K08218,1,1,1,1,1,1
K08219,0,0,0,0,0,0
K08220,0,0,0,0,0,1
K08221,0,0,0,0,0,0
K08222,0,0,0,0,0,0
K08223,1,1,1,1,1,1
K08224,1,1,1,1,1,1
K08225,1,1,1,1,1,1
K08226,1,1,1,1,1,1
K08227,1,1,1,1,0,1
K08228,0,0,0,0,0,0
K08229,0,0,0,0,1,0
K08230,0,0,0,0,0,0
K08232,0,0,1,1,1,0
K08234,1,1,1,1,1,1
K08238,0,0,0,0,1,0
K08239,0,0,1,0,1,1
K08242,0,0,0,0,1,0
K08243,0,0,0,0,0,0
K08244,0,1,1,1,1,0
K08245,1,0,1,1,1,0
K08246,0,0,1,1,1,0
K08247,0,0,1,0,0,1
K08249,0,0,0,0,0,0
K08251,0,0,0,0,0,0
K08252,1,1,1,1,1,1
K08253,1,1,1,1,1,1
K08255,0,0,0,0,0,0
K08256,1,1,1,1,1,1
K08259,1,1,1,1,1,1
K08260,0,0,0,0,0,0
K08261,1,1,1,1,1,1
K08262,1,1,1,1,1,1
K08264,0,0,0,0,0,0
K08266,0,0,1,0,1,1
K08267,0,0,0,0,1,0
K08269,1,1,1,1,1,1
K08272,0,0,1,1,1,1
K08276,1,0,1,1,1,1
K08279,1,1,1,1,1,1
K08280,0,0,0,1,0,1
K08281,1,1,1,1,1,1
K08282,1,1,1,1,1,1
K08283,0,0,0,0,0,0
K08285,0,0,0,0,0,0
K08286,0,0,1,1,1,1
K08287,0,0,0,0,1,0
K08288,0,0,1,0,1,1
K08289,1,1,1,1,1,1
K08291,0,0,0,0,1,0
K08292,0,0,1,0,1,0
K08293,1,0,1,0,1,1
K08294,0,0,0,0,0,0
K08295,1,1,1,1,1,1
K08296,1,1,1,1,1,1
K08297,0,0,0,0,0,0
K08298,0,0,0,0,0,0
K08299,1,1,1,1,1,1
K08300,1,1,1,1,1,1
K08301,1,1,1,1,1,1
K08302,0,0,1,0,1,0
K08303,1,1,1,1,1,1
K08304,1,1,1,1,1,1
K08305,1,1,1,1,1,1
K08306,1,1,1,1,1,1
K08307,1,1,1,1,1,1
K08308,0,0,0,0,0,0
K08309,1,1,1,1,1,1
K08310,1,1,1,1,1,1
K08311,1,1,1,1,1,1
K08312,1,1,1,1,1,1
K08313,0,0,0,0,0,1
K08314,0,0,0,0,0,0
K08315,0,0,0,0,0,0
K08316,1,1,1,1,1,1
K08317,0,0,0,0,0,0
K08318,1,1,1,1,1,1
K08319,1,1,1,1,1,1
K08320,1,0,1,0,1,1
K08321,1,1,1,1,1,1
K08322,0,0,0,0,0,0
K08323,1,1,1,1,1,1
K08324,0,0,0,0,0,0
K08325,1,1,1,1,1,1
K08326,0,0,0,0,0,0
K08328,0,0,0,0,0,0
K08332,0,0,1,0,1,1
K08333,0,0,1,1,1,1
K08334,0,0,1,0,1,1
K08336,0,0,1,1,1,0
K08337,0,0,1,1,1,0
K08339,0,0,1,1,1,0
K08341,1,1,1,1,1,1
K08342,0,0,1,0,1,0
K08343,0,0,1,1,1,0
K08344,1,1,1,1,1,1
K08348,0,0,0,0,0,0
K08349,0,0,0,0,0,0
K08350,0,0,0,0,1,0
K08351,1,0,1,1,1,1
K08352,1,1,1,1,1,1
K08353,0,0,0,0,0,0
K08354,0,0,0,0,0,0
K08355,0,0,1,0,1,0
K08356,0,0,1,0,1,1
K08357,0,0,1,0,0,1
K08358,1,0,1,0,1,1
K08359,0,0,1,0,0,0
K08360,0,0,0,0,1,0
K08363,1,1,1,1,1,1
K08364,1,1,1,1,1,1
K08365,1,1,1,1,1,1
K08368,0,0,0,0,0,0
K08369,1,1,1,1,1,1
K08370,0,0,0,0,0,0
K08371,0,0,1,1,1,0
K08372,1,1,1,1,1,1
K08374,0,0,0,0,0,0
K08384,1,1,1,1,1,1
K08399,0,0,0,0,1,0
K08424,0,0,0,0,0,0
K08436,0,0,0,0,0,0
K08443,0,0,0,0,0,0
K08461,0,0,0,0,0,0
K08462,0,0,0,0,1,0
K08465,0,0,0,0,0,0
K08466,0,0,0,0,0,0
K08467,0,0,0,0,0,0
K08472,0,0,0,0,1,1
K08475,0,0,0,0,0,0
K08476,0,0,0,0,0,0
K08478,0,0,0,0,0,0
K08479,1,1,1,1,1,1
K08480,1,1,1,1,1,1
K08481,1,1,1,1,1,1
K08482,1,1,1,1,1,1
K08483,1,1,1,1,1,1
K08484,1,1,1,1,1,1
K08485,1,1,1,1,1,1
K08486,0,0,1,1,1,0
K08488,0,0,0,0,1,0
K08489,0,0,1,0,1,1
K08490,1,1,1,1,1,1
K08491,0,0,0,0,0,0
K08492,0,0,1,1,1,0
K08493,0,0,1,0,1,0
K08494,0,0,0,0,0,0
K08495,0,0,1,1,1,0
K08496,0,1,1,1,1,0
K08497,0,0,1,0,1,0
K08498,0,0,1,1,1,0
K08501,0,0,1,0,1,0
K08503,0,0,0,0,0,0
K08504,0,0,0,0,1,0
K08506,0,0,1,1,1,0
K08507,0,0,1,0,1,0
K08508,0,0,0,0,0,0
K08512,0,0,0,0,0,0
K08513,0,0,0,0,0,0
K08515,0,0,1,1,1,1
K08516,0,0,1,1,1,1
K08517,0,1,1,1,1,1
K08518,0,0,0,0,1,0
K08527,0,0,0,0,0,0
K08530,0,0,0,0,0,0
K08565,0,0,0,0,1,0
K08566,0,0,0,0,0,0
K08568,1,1,1,1,1,1
K08569,0,0,0,0,0,0
K08570,0,0,0,0,0,0
K08573,0,0,0,0,1,0
K08574,1,0,1,0,1,1
K08576,0,0,0,0,1,1
K08577,0,0,0,0,0,0
