KO,F101_0.22_B,F101_0.22_S,F103_0.22_B,F103_0.22_S,F107_0.22_B,F107_0.22_S
K00911,0,0,0,0,1,0
K00912,1,1,1,1,1,1
K00913,0,0,1,0,1,0
K00914,1,1,1,1,1,1
K00915,0,0,1,0,1,0
K00916,0,0,0,0,0,0
K00917,1,1,1,1,1,1
K00918,0,0,0,0,0,1
K00919,1,1,1,1,1,1
K00920,0,0,0,0,0,0
K00921,0,0,1,1,1,1
K00922,0,0,1,0,1,1
K00923,0,0,0,0,0,0
K00924,1,1,1,1,1,1
K00925,1,1,1,1,1,1
K00926,1,1,1,1,1,1
K00927,1,1,1,1,1,1
K00928,1,1,1,1,1,1
K00929,0,0,0,0,0,0
K00930,1,1,1,1,1,1
K00931,1,1,1,1,1,1
K00932,0,0,0,0,0,0
K00933,1,1,1,1,1,1
K00934,1,1,1,1,1,1
K00936,1,1,1,1,1,1
K00937,1,1,1,1,1,1
K00938,1,0,1,1,1,1
K00939,1,1,1,1,1,1
K00940,1,1,1,1,1,1
K00941,1,1,1,1,1,1
K00942,1,1,1,1,1,1
K00943,1,1,1,1,1,1
K00944,0,0,0,0,0,0
K00945,1,1,1,1,1,1
K00946,1,1,1,1,1,1
K00947,1,1,1,1,1,1
K00948,1,1,1,1,1,1
K00949,1,1,1,1,1,1
K00950,1,1,1,1,1,1
K00951,1,1,1,1,1,1
K00952,1,1,1,1,1,1
K00953,1,1,1,1,1,1
K00954,1,1,1,1,1,1
K00955,1,1,1,1,1,1
K00956,1,1,1,1,1,1
K00957,1,1,1,1,1,1
K00958,1,1,1,1,1,1
K00960,1,1,1,1,1,1
K00962,1,1,1,1,1,1
K00963,1,1,1,1,1,1
K00965,1,1,1,1,1,1
K00966,1,1,1,1,1,1
K00967,1,0,1,1,1,1
K00968,1,1,1,1,1,1
K00969,1,1,1,1,1,1
K00970,1,1,1,1,1,1
K00971,1,1,1,1,1,1
K00972,1,1,1,1,1,1
K00973,1,1,1,1,1,1
K00974,1,1,1,1,1,1
K00975,1,1,1,1,1,1
K00976,0,0,0,0,1,0
K00978,1,1,1,1,1,1
K00979,1,1,1,1,1,1
K00980,1,1,1,1,1,1
K00981,1,1,1,1,1,1
K00982,1,1,1,1,1,1
K00983,1,1,1,1,1,1
K00984,0,0,0,0,0,0
K00986,1,1,1,1,1,1
K00987,0,0,1,1,1,1
K00988,1,1,1,1,1,1
K00989,1,1,1,1,1,1
K00990,1,1,1,1,1,1
K00991,1,1,1,1,1,1
K00992,1,1,1,1,1,1
K00993,1,1,1,1,1,1
K00994,0,0,0,0,0,0
K00995,1,1,1,1,1,1
K00996,1,1,1,1,1,1
K00997,1,1,1,1,1,1
K00998,1,1,1,1,1,1
K00999,0,0,1,0,1,0
K01000,1,1,1,1,1,1
K01001,1,1,1,1,1,1
K01002,1,1,1,1,1,1
K01003,1,1,1,1,1,1
K01004,1,1,1,1,1,1
K01006,1,1,1,1,1,1
K01007,1,1,1,1,1,1
K01008,1,1,1,1,1,1
K01011,1,1,1,1,1,1
K01012,1,1,1,1,1,1
K01014,1,1,1,1,1,1
K01015,1,0,1,0,1,1
K01016,0,0,1,0,1,0
K01017,0,0,0,0,1,0
K01021,0,0,1,0,1,0
K01022,0,0,0,0,0,0
K01023,1,0,1,1,1,1
K01024,0,0,0,0,0,0
K01025,1,1,1,1,1,1
K01026,1,1,1,1,1,1
K01027,1,1,1,1,1,1
K01028,1,1,1,1,1,1
K01029,1,1,1,1,1,1
K01031,1,1,1,1,1,1
K01032,1,1,1,1,1,1
K01034,0,0,0,0,0,0
K01035,0,0,0,0,0,0
K01039,1,1,1,1,1,1
K01040,1,1,1,1,1,1
K01042,1,1,1,1,1,1
K01044,0,0,1,0,0,1
K01045,0,0,1,0,1,0
K01046,1,1,1,1,1,1
K01047,0,0,0,0,0,0
K01048,1,1,1,1,1,1
K01049,0,0,1,0,0,0
K01050,0,0,0,0,0,0
K01051,1,1,1,1,1,1
K01052,0,0,0,0,0,1
K01053,1,1,1,1,1,1
K01054,1,1,1,1,1,1
